;-ÿAcebeda-La;41.0930184542923,-3.6201388451;
98;-ÿOrusco-de-Tajuna;40.2939972060512,-3.2113011173;
99;-ÿParacuellos-de-Jarama;40.5198271658523,-3.5333778281;
100;-ÿParla;40.2337784618279,-3.7720945335;
101;-ÿPatones;40.8945406675332,-3.4811004746;
102;-ÿPedrezuela;40.7410124265728,-3.6250307369;
103;-ÿPelayos-de-la-Presa;40.3640815552639,-4.3226802509;
104;-ÿPerales-de-Tajuna;40.2304872804066,-3.3583565620;
105;-ÿPezuela-de-las-Torres;40.4044716362477,-3.1761448160;
106;-ÿPinilla-del-Valle;40.9411659895241,-3.8338142728;
107;-ÿPinto;40.2589448043895,-3.6832130963;
108;-ÿPinuecar-Gandullas;41.0357427781652,-3.5978049955;
109;-ÿPozuelo-de-Alarcon;40.4300398736521,-3.8165009163;
110;-ÿPozuelo-del-Rey;40.3645406971393,-3.3056875324;
111;-ÿPradena-del-Rincon;41.0433474038297,-3.5233825313;
112;-ÿPuebla-de-la-Sierra;40.9956961241862,-3.4664476752;
113;-ÿPuentes-Viejas;40.9696352693877,-3.5604658797;
114;-ÿQuijorna;40.415400556037,-4.05938009261;
115;-ÿRascafria;40.8621086107951,-3.9026834908;
116;-ÿReduena;40.8144018627811,-3.5918495457;
117;-ÿRibatejada;40.6669157994398,-3.4225579197;
118;-ÿRivas-Vaciamadrid;40.3510851699509,-3.5170123825;
119;-ÿRobledillo-de-la-Jara;40.949178476438,-3.52977484618;
120;-ÿRobledo-de-Chavela;40.4911089338226,-4.2374437220;
121;-ÿRobregordo;41.1217240545633,-3.6029155704;
122;-ÿRozas-de-Madrid-Las;40.5267256637762,-3.9030021064;
123;-ÿRozas-de-Puerto-Real;40.3050611508625,-4.5116743885;
124;-ÿSan-Agustin-del-Guadalix;40.6896589722037,-3.6302136258;
125;-ÿSan-Fernando-de-Henares;40.4377562334485,-3.4890879498;
126;-ÿSan-Lorenzo-de-El-Escorial;40.6099468412176,-4.1266391451;
127;-ÿSan-Martin-de-la-Vega;40.2471349510188,-3.5531411144;
128;-ÿSan-Martin-de-Valdeiglesias;40.3623132356877,-4.3439319018;
129;-ÿSan-Sebastian-de-los-Reyes;40.5794445810967,-3.5941717275;
130;-ÿSanta-Maria-de-la-Alameda;40.5913322387343,-4.2478488295;
